,genre
726,"SE,CP"
727,"RE,SE,CP"
728,"SE,CP"
729,"RE,SE"
730,CP
731,CP
732,SE
733,RE
734,"RE,SE,CP"
735,"SE,CP"
736,SE
737,"SE,CP"
738,"RE,SE,CP"
739,"SE,CP"
740,"SE,CP"
741,"RE,SE,CP"
742,"SE,CP"
743,SE
744,"SE,CP"
745,"SE,CP"
746,SE
747,RE
748,"SE,CP"
749,"SE,CP"
750,"RE,SE,CP"
751,"RE,SE,CP"
752,CP
753,"SE,CP"
754,"RE,SE,CP"
755,SE
756,"SE,CP"
757,"RE,SE,CP"
758,SE
759,MA
760,"SE,CP"
761,"SE,CP"
762,"SE,CP"
763,"RE,SE,CP"
764,"RE,SE,CP"
765,SE
766,"SE,CP"
767,"SE,CP"
768,SE
769,"RE,SE,CP"
770,SE
771,"SE,CP"
772,CP
773,"SE,CP"
774,"SE,MA"
775,"SE,CP"
776,"RE,SE,CP"
777,SE
778,"RE,CP"
779,"SE,MA,CP"
780,CP
781,CP
782,"RE,SE,CP"
783,"SE,CP"
784,"RE,SE,CP"
785,"SE,MA,CP"
786,SE
787,CP
788,"RE,SE"
789,RE
790,"RE,SE"
791,RE
792,"SE,CP"
793,"RE,SE,CP"
794,"RE,SE,CP"
795,CP
796,SE
797,CP
798,"SE,CP"
799,"SE,MA"
800,"RE,SE,CP"
801,"SE,CP"
802,"SE,CP"
803,"SE,CP"
804,"SE,CP"
805,"SE,CP"
806,"SE,CP"
807,"RE,SE,CP"
808,"SE,CP"
809,"SE,CP"
810,"SE,CP"
811,"RE,SE,CP"
812,"SE,CP"
813,"SE,MA"
814,"SE,CP"
815,"SE,CP"
816,"SE,CP"
817,"SE,CP"
818,"SE,CP"
819,"RE,SE,CP"
820,"RE,SE,CP"
821,"SE,CP"
822,"RE,SE,MA,CP"
823,"RE,SE"
824,SE
825,"SE,CP"
826,"RE,SE,CP"
827,CP
828,CP
829,"SE,CP"
830,"RE,SE,CP"
831,SE
832,CP
833,"RE,SE,CP"
834,SE
835,CP
836,"SE,CP"
837,"RE,SE,CP"
838,"RE,SE,MA"
839,"SE,CP"
840,"RE,SE,CP"
841,"RE,SE,CP"
842,CP
843,"SE,CP"
844,"SE,CP"
845,"SE,CP"
846,"SE,CP"
847,"SE,CP"
848,"SE,MA,CP"
849,"SE,CP"
850,SE
851,"SE,CP"
852,"SE,CP"
853,"SE,CP"
854,SE
855,"SE,CP"
856,"SE,CP"
857,SE
858,"RE,SE,CP"
859,"RE,SE,CP"
860,"SE,CP"
861,SE
862,"SE,CP"
863,"RE,CP"
864,CP
865,"RE,SE"
866,"RE,SE,CP"
867,"RE,SE"
868,"SE,CP"
869,"SE,CP"
870,CP
871,"SE,CP"
872,CP
873,"SE,MA,CP"
874,"SE,CP"
875,"SE,CP"
876,RE
877,"RE,SE,CP"
878,"SE,CP"
879,"RE,SE,MA"
880,"RE,SE"
881,"SE,CP"
882,"SE,CP"
883,"SE,CP"
884,"SE,CP"
885,"RE,SE,CP"
886,"RE,SE,CP"
887,"SE,CP"
888,RE
889,SE
890,SE
891,SE
892,SE
893,SE
894,"RE,SE,CP"
895,"RE,CP"
896,"RE,SE"
897,"SE,CP"
898,SE
899,SE
900,"SE,CP"
901,"SE,CP"
902,"SE,CP"
903,"RE,SE,CP"
904,"RE,SE"
905,CP
906,"RE,SE"
907,CP
908,"RE,SE,CP"
909,CP
910,"SE,CP"
911,"RE,SE,CP"
912,CP
913,SE
914,"SE,CP"
915,"RE,CP"
916,"SE,CP"
917,"RE,SE,CP"
918,SE
919,"SE,CP"
920,"SE,CP"
921,"SE,CP"
922,"RE,SE"
923,"SE,CP"
924,"RE,SE"
925,"RE,SE"
926,"SE,CP"
927,"SE,CP"
928,CP
929,"RE,SE"
930,"RE,SE,CP"
931,SE
932,"RE,SE,CP"
933,"RE,SE"
934,"SE,CP"
935,"SE,CP"
936,"RE,SE,CP"
937,"RE,SE,CP"
938,"RE,SE,CP"
939,"SE,CP"
940,"SE,CP"
941,"RE,SE,CP"
942,"SE,CP"
943,"SE,CP"
944,"SE,CP"
945,"SE,CP"
946,"SE,CP"
947,"SE,CP"
948,"RE,SE,CP"
949,"SE,CP"
950,"RE,CP"
951,SE
952,"RE,SE,CP"
953,CP
954,CP
955,"SE,CP"
956,SE
957,"SE,CP"
958,"RE,SE,CP"
959,SE
960,"RE,SE,CP"
961,"SE,CP"
962,"RE,CP"
963,"RE,SE,CP"
964,"RE,SE,CP"
965,CP
966,"SE,CP"
967,"SE,CP"
968,SE
969,"SE,MA,CP"
970,"SE,CP"
971,"RE,SE,CP"
972,"RE,SE,CP"
973,"RE,CP"
974,"SE,CP"
975,CP
976,CP
977,"RE,SE,CP"
978,"RE,SE,CP"
979,"RE,SE,CP"
980,SE
981,"RE,SE,CP"
982,"SE,CP"
983,"RE,SE"
984,"RE,SE,CP"
985,"SE,CP"
986,"SE,CP"
987,"SE,MA"
988,"SE,CP"
989,"RE,SE"
990,"RE,SE,CP"
991,"SE,CP"
992,SE
993,SE
994,"RE,SE,CP"
995,"RE,SE,CP"
996,"SE,CP"
997,"RE,SE,CP"
998,"SE,CP"
999,"SE,CP"
1000,"SE,CP"
1001,"SE,MA"
1002,SE
1003,"SE,CP"
1004,"RE,SE,CP"
1005,"RE,SE"
1006,"RE,SE,CP"
1007,"SE,CP"
1008,"RE,SE,CP"
1009,"SE,CP"
1010,"SE,CP"
1011,"SE,MA"
1012,"SE,CP"
1013,SE
1014,"SE,CP"
1015,"RE,SE,CP"
1016,"SE,MA"
1017,"RE,SE,CP"
1018,"RE,SE,CP"
1019,"RE,SE,CP"
1020,"SE,CP"
1021,"SE,CP"
1022,"SE,CP"
1023,"RE,SE,CP"
1024,"SE,CP"
1025,SE
1026,"RE,CP"
1027,"RE,SE,CP"
1028,"SE,CP"
1029,SE
1030,"RE,SE,CP"
1031,"SE,CP"
1032,SE
1033,"RE,SE,CP"
1034,"RE,SE,MA,CP"
1035,CP
1036,SE
1037,"SE,CP"
1038,"SE,CP"
1039,CP
1040,"SE,CP"
1041,"SE,CP"
1042,"SE,CP"
1043,"RE,SE,CP"
1044,"SE,CP"
1045,"SE,CP"
1046,"RE,SE,CP"
1047,SE
1048,CP
1049,"RE,SE,CP"
1050,"RE,SE,CP"
1051,"RE,SE,CP"
1052,RE
1053,"RE,SE,CP"
1054,"MA,CP"
1055,SE
1056,"SE,CP"
1057,"RE,SE,CP"
1058,"SE,CP"
1059,"SE,CP"
1060,"SE,CP"
1061,SE
1062,SE
1063,"SE,CP"
1064,"RE,SE"
1065,"RE,SE"
1066,SE
1067,"SE,CP"
1068,"RE,SE,CP"
1069,"SE,CP"
1070,"SE,CP"
1071,"SE,CP"
1072,"SE,CP"
1073,"RE,SE,CP"
1074,SE
1075,"RE,SE,CP"
1076,"RE,SE,CP"
1077,CP
1078,RE
1079,"SE,CP"
1080,"SE,CP"
1081,"SE,CP"
1082,"SE,CP"
1083,"RE,SE"
1084,"SE,CP"
1085,"RE,SE,CP"
1086,"RE,SE,CP"
1087,"RE,CP"
1088,"RE,CP"
1089,"SE,CP"
1090,"RE,SE,CP"
1091,SE
1092,SE
1093,SE
1094,"RE,SE,CP"
1095,CP
1096,CP
1097,"RE,SE,CP"
1098,SE
1099,"MA,CP"
1100,"SE,CP"
1101,"RE,SE"
1102,"SE,CP"
1103,"SE,CP"
1104,"SE,CP"
1105,MA
1106,"SE,CP"
1107,"SE,CP"
1108,"SE,MA,CP"
1109,SE
1110,"RE,SE,CP"
1111,"RE,SE"
1112,"SE,MA"
1113,"SE,CP"
1114,SE
1115,"RE,SE"
1116,"SE,CP"
1117,"SE,CP"
1118,"RE,SE,CP"
1119,"RE,CP"
1120,"RE,SE,CP"
1121,"SE,CP"
1122,"SE,MA,CP"
1123,SE
1124,"RE,SE"
1125,CP
1126,"SE,CP"
1127,"RE,SE,CP"
1128,SE
1129,"SE,CP"
1130,CP
1131,"RE,SE,MA"
1132,"RE,SE,CP"
1133,SE
1134,"RE,SE,CP"
1135,"SE,CP"
1136,"RE,CP"
1137,RE
1138,"RE,SE,CP"
1139,CP
1140,CP
1141,"SE,CP"
1142,"SE,CP"
1143,SE
1144,"SE,MA,CP"
1145,"RE,SE,CP"
1146,"SE,CP"
1147,SE
1148,"RE,SE"
1149,SE
1150,"RE,SE,CP"
1151,"SE,CP"
1152,"RE,SE,CP"
1153,"SE,CP"
1154,"SE,CP"
1155,RE
1156,"SE,CP"
1157,"SE,CP"
1158,"SE,CP"
1159,"SE,CP"
1160,"RE,SE,CP"
1161,"RE,MA,CP"
1162,"RE,SE"
1163,"SE,MA"
1164,RE
1165,SE
1166,"RE,CP"
1167,CP
1168,"RE,CP"
1169,"RE,SE,CP"
1170,CP
1171,"RE,CP"
1172,CP
1173,"RE,SE,CP"
1174,"RE,SE,CP"
1175,"RE,SE"
1176,"SE,MA"
1177,RE
1178,RE
1179,"RE,SE,CP"
1180,"RE,SE"
1181,"SE,CP"
1182,SE
1183,SE
1184,CP
1185,"SE,CP"
1186,"SE,CP"
1187,CP
1188,"RE,SE,CP"
1189,"SE,CP"
1190,"SE,CP"
1191,CP
1192,"RE,SE,CP"
1193,"RE,SE,CP"
1194,"SE,CP"
1195,"SE,CP"
1196,CP
1197,"SE,CP"
1198,"RE,SE,CP"
1199,"SE,CP"
1200,"SE,CP"
1201,"SE,CP"
1202,SE
1203,"RE,CP"
1204,"SE,CP"
1205,CP
1206,CP
1207,"RE,SE,CP"
1208,"RE,SE,CP"
1209,"RE,SE,CP"
1210,CP
1211,"RE,SE,MA,CP"
1212,"SE,CP"
1213,"RE,SE,CP"
1214,"RE,SE,CP"
1215,SE
1216,"RE,SE,CP"
1217,"RE,SE,CP"
1218,CP
1219,"SE,CP"
1220,"SE,CP"
1221,"RE,CP"
1222,"RE,SE,MA,CP"
1223,SE
1224,"RE,SE"
1225,"RE,SE"
1226,"SE,CP"
1227,"RE,SE"
1228,"RE,SE,CP"
1229,"SE,CP"
1230,CP
1231,"RE,SE,CP"
1232,"SE,CP"
1233,"SE,CP"
1234,SE
1235,"RE,SE,CP"
1236,"MA,CP"
1237,"RE,SE"
1238,SE
1239,RE
1240,"SE,MA"
1241,"RE,SE,CP"
1242,"RE,SE"
1243,"SE,CP"
1244,CP
1245,"SE,CP"
1246,SE
1247,SE
1248,"RE,SE,CP"
1249,"RE,SE,CP"
1250,"SE,CP"
1251,"SE,CP"
1252,"RE,SE,CP"
1253,"RE,SE,CP"
1254,SE
1255,"RE,SE"
1256,"RE,SE,CP"
1257,"RE,SE,CP"
1258,"SE,CP"
1259,CP
1260,"SE,MA,CP"
1261,"SE,CP"
1262,"SE,CP"
1263,"RE,SE"
1264,"RE,SE,CP"
1265,SE
1266,CP
1267,"RE,SE,CP"
1268,SE
1269,"RE,SE,CP"
1270,"SE,CP"
1271,"SE,CP"
1272,"RE,SE,CP"
1273,CP
1274,"SE,MA"
1275,RE
1276,"RE,SE,CP"
1277,"RE,SE,CP"
1278,"RE,SE,CP"
1279,CP
1280,CP
1281,"RE,SE"
1282,"SE,CP"
1283,"RE,SE,CP"
1284,"RE,SE,CP"
1285,SE
1286,"SE,CP"
1287,"SE,CP"
1288,"SE,CP"
1289,"RE,SE,CP"
1290,"SE,CP"
1291,"RE,CP"
1292,"RE,SE,CP"
1293,"RE,SE,CP"
1294,"SE,CP"
1295,"SE,CP"
1296,RE
1297,"RE,SE"
1298,"RE,SE,CP"
1299,"RE,SE,CP"
1300,"SE,CP"
1301,"RE,SE,CP"
1302,"SE,MA"
1303,"SE,CP"
1304,"SE,CP"
1305,"SE,CP"
1306,"SE,MA,CP"
1307,"SE,CP"
1308,"SE,CP"
1309,"RE,SE,CP"
1310,"SE,CP"
1311,CP
1312,"SE,CP"
1313,"RE,SE,CP"
1314,"RE,SE,CP"
1315,SE
1316,CP
1317,"RE,SE"
1318,SE
1319,"SE,CP"
1320,"SE,CP"
1321,"RE,SE,CP"
1322,"RE,SE,CP"
1323,"SE,CP"
1324,"SE,CP"
1325,"RE,SE"
1326,"SE,CP"
1327,"RE,SE,CP"
1328,"SE,CP"
1329,"SE,CP"
1330,"RE,SE,CP"
1331,SE
1332,"RE,SE,CP"
1333,RE
1334,RE
1335,"RE,SE,CP"
1336,CP
1337,"RE,SE,CP"
1338,CP
1339,CP
1340,"RE,SE,CP"
1341,"SE,CP"
1342,"SE,CP"
1343,"RE,SE"
1344,SE
1345,CP
1346,"RE,SE,CP"
1347,"SE,CP"
1348,"SE,CP"
1349,CP
1350,"RE,SE,MA"
1351,"SE,CP"
1352,"SE,CP"
1353,"SE,MA,CP"
1354,"SE,CP"
1355,"RE,SE,CP"
1356,"RE,SE"
1357,SE
1358,"RE,SE"
1359,"SE,CP"
1360,"RE,SE"
1361,"RE,SE,CP"
1362,"SE,CP"
1363,SE
1364,"RE,SE,CP"
1365,"RE,SE,MA"
1366,"RE,SE,CP"
1367,"SE,CP"
1368,"SE,CP"
1369,"SE,CP"
1370,"SE,CP"
1371,"SE,CP"
1372,"SE,CP"
1373,"SE,CP"
1374,"RE,SE,CP"
1375,"SE,CP"
1376,"SE,CP"
1377,"SE,CP"
1378,"SE,CP"
1379,"RE,SE,CP"
1380,"SE,CP"
1381,"RE,SE,CP"
1382,"SE,MA,CP"
1383,"SE,MA,CP"
1384,"SE,CP"
1385,CP
1386,"RE,SE,CP"
